"","estado","numero","sexo","rep_m","rep_t","factor_num","factor_mue","factor_sex"
"1","infectado","1","hembra","A1","1","infectado_1","infectado_A1","infectado_hembra"
"2","infectado","1","hembra","A2","1","infectado_1","infectado_A2","infectado_hembra"
"3","infectado","1","hembra","A3","1","infectado_1","infectado_A3","infectado_hembra"
"4","infectado","1","hembra","A4","1","infectado_1","infectado_A4","infectado_hembra"
"5","infectado","2","hembra","A5","1","infectado_2","infectado_A5","infectado_hembra"
"6","infectado","2","hembra","A6","1","infectado_2","infectado_A6","infectado_hembra"
"7","infectado","2","hembra","A7","1","infectado_2","infectado_A7","infectado_hembra"
"8","infectado","2","hembra","A8","1","infectado_2","infectado_A8","infectado_hembra"
"9","infectado","3","hembra","A10","1","infectado_3","infectado_A10","infectado_hembra"
"10","infectado","3","hembra","A11","1","infectado_3","infectado_A11","infectado_hembra"
"11","infectado","3","hembra","A12","1","infectado_3","infectado_A12","infectado_hembra"
"12","infectado","3","hembra","A9","1","infectado_3","infectado_A9","infectado_hembra"
"13","infectado","4","hembra","B1","1","infectado_4","infectado_B1","infectado_hembra"
"14","infectado","4","hembra","B2","1","infectado_4","infectado_B2","infectado_hembra"
"15","infectado","4","hembra","B3","1","infectado_4","infectado_B3","infectado_hembra"
"16","infectado","4","hembra","B4","1","infectado_4","infectado_B4","infectado_hembra"
"17","infectado","4","macho","D1","1","infectado_4","infectado_D1","infectado_macho"
"18","infectado","4","macho","D2","1","infectado_4","infectado_D2","infectado_macho"
"19","infectado","4","macho","D3","1","infectado_4","infectado_D3","infectado_macho"
"20","infectado","4","macho","D4","1","infectado_4","infectado_D4","infectado_macho"
"21","infectado","5","hembra","B5","1","infectado_5","infectado_B5","infectado_hembra"
"22","infectado","5","hembra","B6","1","infectado_5","infectado_B6","infectado_hembra"
"23","infectado","5","hembra","B7","1","infectado_5","infectado_B7","infectado_hembra"
"24","infectado","5","hembra","B8","1","infectado_5","infectado_B8","infectado_hembra"
"25","infectado","6","hembra","B10","1","infectado_6","infectado_B10","infectado_hembra"
"26","infectado","6","hembra","B11","1","infectado_6","infectado_B11","infectado_hembra"
"27","infectado","6","hembra","B12","1","infectado_6","infectado_B12","infectado_hembra"
"28","infectado","6","hembra","B9","1","infectado_6","infectado_B9","infectado_hembra"
"29","infectado","7","macho","C1","1","infectado_7","infectado_C1","infectado_macho"
"30","infectado","7","macho","C2","1","infectado_7","infectado_C2","infectado_macho"
"31","infectado","7","macho","C3","1","infectado_7","infectado_C3","infectado_macho"
"32","infectado","7","macho","C4","1","infectado_7","infectado_C4","infectado_macho"
"33","infectado","8","macho","C5","1","infectado_8","infectado_C5","infectado_macho"
"34","infectado","8","macho","C6","1","infectado_8","infectado_C6","infectado_macho"
"35","infectado","8","macho","C7","1","infectado_8","infectado_C7","infectado_macho"
